event_index,crate7_trigger,crate7_tcp_fill,crate7_gpu_fill,crate8_trigger,crate8_tcp_fill,crate8_gpu_fill,filename
30092,795297,8864,8864,797857,11424,11424,run00322_00031.mid.lz4
30093,795298,8865,8865,797858,11425,11425,run00322_00031.mid.lz4
30094,795299,8866,8866,797859,11426,11426,run00322_00031.mid.lz4
30095,795300,8867,8867,797860,11427,11427,run00322_00031.mid.lz4
30096,795301,8868,8868,797861,11428,11428,run00322_00031.mid.lz4
30097,795302,8869,8869,797862,11429,11429,run00322_00031.mid.lz4
30098,795303,8870,8870,797863,11430,11430,run00322_00031.mid.lz4
30099,795304,8871,8871,797864,11431,11431,run00322_00031.mid.lz4
30100,795305,8872,8872,797865,11432,11432,run00322_00031.mid.lz4
30101,795306,8873,8873,797866,11433,11433,run00322_00031.mid.lz4
30102,795307,8874,8874,797867,11434,11434,run00322_00031.mid.lz4
30103,795308,8875,8875,797868,11435,11435,run00322_00031.mid.lz4
30104,795309,8876,8876,797869,11436,11436,run00322_00031.mid.lz4
30105,795310,8877,8877,797870,11437,11437,run00322_00031.mid.lz4
30106,795311,8878,8878,797871,11438,11438,run00322_00031.mid.lz4
30107,795312,8879,8879,797872,11439,11439,run00322_00031.mid.lz4
30108,795313,8880,8880,797873,11440,11440,run00322_00031.mid.lz4
30109,795314,8881,8881,797874,11441,11441,run00322_00031.mid.lz4
30110,795315,8882,8882,797875,11442,11442,run00322_00031.mid.lz4
30111,795316,8883,8883,797876,11443,11443,run00322_00031.mid.lz4
30112,795317,8884,8884,797877,11444,11444,run00322_00031.mid.lz4
30113,795318,8885,8885,797878,11445,11445,run00322_00031.mid.lz4
30114,795319,8886,8886,797879,11446,11446,run00322_00031.mid.lz4
30115,795320,8887,8887,797880,11447,11447,run00322_00031.mid.lz4
30116,795321,8888,8888,797881,11448,11448,run00322_00031.mid.lz4
30117,795322,8889,8889,797882,11449,11449,run00322_00031.mid.lz4
30118,795323,8890,8890,797883,11450,11450,run00322_00031.mid.lz4
30119,795324,8891,8891,797884,11451,11451,run00322_00031.mid.lz4
30120,795325,8892,8892,797885,11452,11452,run00322_00031.mid.lz4
30121,795326,8893,8893,797886,11453,11453,run00322_00031.mid.lz4
30122,795327,8894,8894,797887,11454,11454,run00322_00031.mid.lz4
30123,795328,8895,8895,797888,11455,11455,run00322_00031.mid.lz4
30124,795329,8896,8896,797889,11456,11456,run00322_00031.mid.lz4
30125,795330,8897,8897,797890,11457,11457,run00322_00031.mid.lz4
30126,795331,8898,8898,797891,11458,11458,run00322_00031.mid.lz4
30127,795332,8899,8899,797892,11459,11459,run00322_00031.mid.lz4
30128,795333,8900,8900,797893,11460,11460,run00322_00031.mid.lz4
30129,795334,8901,8901,797894,11461,11461,run00322_00031.mid.lz4
30130,795335,8902,8902,797895,11462,11462,run00322_00031.mid.lz4
30131,795336,8903,8903,797896,11463,11463,run00322_00031.mid.lz4
30132,795337,8904,8904,797897,11464,11464,run00322_00031.mid.lz4
30133,795338,8905,8905,797898,11465,11465,run00322_00031.mid.lz4
30134,795339,8906,8906,797899,11466,11466,run00322_00031.mid.lz4
30135,795340,8907,8907,797900,11467,11467,run00322_00031.mid.lz4
30136,795341,8908,8908,797901,11468,11468,run00322_00031.mid.lz4
30137,795342,8909,8909,797902,11469,11469,run00322_00031.mid.lz4
30138,795343,8910,8910,797903,11470,11470,run00322_00031.mid.lz4
30139,795344,8911,8911,797904,11471,11471,run00322_00031.mid.lz4
30140,795345,8912,8912,797905,11472,11472,run00322_00031.mid.lz4
30141,795346,8913,8913,797906,11473,11473,run00322_00031.mid.lz4
30142,795347,8914,8914,797907,11474,11474,run00322_00031.mid.lz4
30143,795348,8915,8915,797908,11475,11475,run00322_00031.mid.lz4
30144,795349,8916,8916,797909,11476,11476,run00322_00031.mid.lz4
30145,795350,8917,8917,797910,11477,11477,run00322_00031.mid.lz4
30146,795351,8918,8918,797911,11478,11478,run00322_00031.mid.lz4
30147,795352,8919,8919,797912,11479,11479,run00322_00031.mid.lz4
30148,795353,8920,8920,797913,11480,11480,run00322_00031.mid.lz4
30149,795354,8921,8921,797914,11481,11481,run00322_00031.mid.lz4
30150,795355,8922,8922,797915,11482,11482,run00322_00031.mid.lz4
30151,795356,8923,8923,797916,11483,11483,run00322_00031.mid.lz4
30152,795357,8924,8924,797917,11484,11484,run00322_00031.mid.lz4
30153,795358,8925,8925,797918,11485,11485,run00322_00031.mid.lz4
30154,795359,8926,8926,797919,11486,11486,run00322_00031.mid.lz4
30155,795360,8927,8927,797920,11487,11487,run00322_00031.mid.lz4
30156,795361,8928,8928,797921,11488,11488,run00322_00031.mid.lz4
30157,795362,8929,8929,797922,11489,11489,run00322_00031.mid.lz4
30158,795363,8930,8930,797923,11490,11490,run00322_00031.mid.lz4
30159,795364,8931,8931,797924,11491,11491,run00322_00031.mid.lz4
30160,795365,8932,8932,797925,11492,11492,run00322_00031.mid.lz4
30161,795366,8933,8933,797926,11493,11493,run00322_00031.mid.lz4
30162,795367,8934,8934,797927,11494,11494,run00322_00031.mid.lz4
30163,795368,8935,8935,797928,11495,11495,run00322_00031.mid.lz4
30164,795369,8936,8936,797929,11496,11496,run00322_00031.mid.lz4
30165,795370,8937,8937,797930,11497,11497,run00322_00031.mid.lz4
30166,795371,8938,8938,797931,11498,11498,run00322_00031.mid.lz4
30167,795372,8939,8939,797932,11499,11499,run00322_00031.mid.lz4
30168,795373,8940,8940,797933,11500,11500,run00322_00031.mid.lz4
30169,795374,8941,8941,797934,11501,11501,run00322_00031.mid.lz4
30170,795375,8942,8942,797935,11502,11502,run00322_00031.mid.lz4
30171,795376,8943,8943,797936,11503,11503,run00322_00031.mid.lz4
30172,795377,8944,8944,797937,11504,11504,run00322_00031.mid.lz4
30173,795378,8945,8945,797938,11505,11505,run00322_00031.mid.lz4
30174,795379,8946,8946,797939,11506,11506,run00322_00031.mid.lz4
30175,795380,8947,8947,797940,11507,11507,run00322_00031.mid.lz4
30176,795381,8948,8948,797941,11508,11508,run00322_00031.mid.lz4
30177,795382,8949,8949,797942,11509,11509,run00322_00031.mid.lz4
30178,795383,8950,8950,797943,11510,11510,run00322_00031.mid.lz4
30179,795384,8951,8951,797944,11511,11511,run00322_00031.mid.lz4
30180,795385,8952,8952,797945,11512,11512,run00322_00031.mid.lz4
30181,795386,8953,8953,797946,11513,11513,run00322_00031.mid.lz4
30182,795387,8954,8954,797947,11514,11514,run00322_00031.mid.lz4
30183,795388,8955,8955,797948,11515,11515,run00322_00031.mid.lz4
30184,795389,8956,8956,797949,11516,11516,run00322_00031.mid.lz4
30185,795390,8957,8957,797950,11517,11517,run00322_00031.mid.lz4
30186,795391,8958,8958,797951,11518,11518,run00322_00031.mid.lz4
30187,795392,8959,8959,797952,11519,11519,run00322_00031.mid.lz4
30188,795393,8960,8960,797953,11520,11520,run00322_00031.mid.lz4
30189,795394,8961,8961,797954,11521,11521,run00322_00031.mid.lz4
30190,795395,8962,8962,797955,11522,11522,run00322_00031.mid.lz4
30191,795396,8963,8963,797956,11523,11523,run00322_00031.mid.lz4
30192,795397,8964,8964,797957,11524,11524,run00322_00031.mid.lz4
30193,795398,8965,8965,797958,11525,11525,run00322_00031.mid.lz4
30194,795399,8966,8966,797959,11526,11526,run00322_00031.mid.lz4
30195,795400,8967,8967,797960,11527,11527,run00322_00031.mid.lz4
30196,795401,8968,8968,797961,11528,11528,run00322_00031.mid.lz4
30197,795402,8969,8969,797962,11529,11529,run00322_00031.mid.lz4
30198,795403,8970,8970,797963,11530,11530,run00322_00031.mid.lz4
30199,795404,8971,8971,797964,11531,11531,run00322_00031.mid.lz4
30200,795405,8972,8972,797965,11532,11532,run00322_00031.mid.lz4
30201,795406,8973,8973,797966,11533,11533,run00322_00031.mid.lz4
30202,795407,8974,8974,797967,11534,11534,run00322_00031.mid.lz4
30203,795408,8975,8975,797968,11535,11535,run00322_00031.mid.lz4
30204,795409,8976,8976,797969,11536,11536,run00322_00031.mid.lz4
30205,795410,8977,8977,797970,11537,11537,run00322_00031.mid.lz4
30206,795411,8978,8978,797971,11538,11538,run00322_00031.mid.lz4
30207,795412,8979,8979,797972,11539,11539,run00322_00031.mid.lz4
30208,795413,8980,8980,797973,11540,11540,run00322_00031.mid.lz4
30209,795414,8981,8981,797974,11541,11541,run00322_00031.mid.lz4
30210,795415,8982,8982,797975,11542,11542,run00322_00031.mid.lz4
30211,795416,8983,8983,797976,11543,11543,run00322_00031.mid.lz4
30212,795417,8984,8984,797977,11544,11544,run00322_00031.mid.lz4
30213,795418,8985,8985,797978,11545,11545,run00322_00031.mid.lz4
30214,795419,8986,8986,797979,11546,11546,run00322_00031.mid.lz4
30215,795420,8987,8987,797980,11547,11547,run00322_00031.mid.lz4
30216,795421,8988,8988,797981,11548,11548,run00322_00031.mid.lz4
30217,795422,8989,8989,797982,11549,11549,run00322_00031.mid.lz4
30218,795423,8990,8990,797983,11550,11550,run00322_00031.mid.lz4
30219,795424,8991,8991,797984,11551,11551,run00322_00031.mid.lz4
30220,795425,8992,8992,797985,11552,11552,run00322_00031.mid.lz4
30221,795426,8993,8993,797986,11553,11553,run00322_00031.mid.lz4
30222,795427,8994,8994,797987,11554,11554,run00322_00031.mid.lz4
30223,795428,8995,8995,797988,11555,11555,run00322_00031.mid.lz4
30224,795429,8996,8996,797989,11556,11556,run00322_00031.mid.lz4
30225,795430,8997,8997,797990,11557,11557,run00322_00031.mid.lz4
30226,795431,8998,8998,797991,11558,11558,run00322_00031.mid.lz4
30227,795432,8999,8999,797992,11559,11559,run00322_00031.mid.lz4
30228,795433,9000,9000,797993,11560,11560,run00322_00031.mid.lz4
30229,795434,9001,9001,797994,11561,11561,run00322_00031.mid.lz4
30230,795435,9002,9002,797995,11562,11562,run00322_00031.mid.lz4
30231,795436,9003,9003,797996,11563,11563,run00322_00031.mid.lz4
30232,795437,9004,9004,797997,11564,11564,run00322_00031.mid.lz4
30233,795438,9005,9005,797998,11565,11565,run00322_00031.mid.lz4
30234,795439,9006,9006,797999,11566,11566,run00322_00031.mid.lz4
30235,795440,9007,9007,798000,11567,11567,run00322_00031.mid.lz4
30236,795441,9008,9008,798001,11568,11568,run00322_00031.mid.lz4
30237,795442,9009,9009,798002,11569,11569,run00322_00031.mid.lz4
30238,795443,9010,9010,798003,11570,11570,run00322_00031.mid.lz4
